KVRouite - Python packages of the voice remover, as shipped
==============================================================================

Collected by tools/lizenzen_sammeln.py from the build venv. The
license given is the one the package declares in its own metadata.
The full texts are the LICENSE.<package> files next to this one.

package                    version                license
------------------------------------------------------------------------------
audio-separator            0.47.0                 MIT
torch                      2.14.0                 Apache-2.0 AND Apache-2.0 WITH LLVM-exception AND BSD-2-Clause AND BSD-3-Clause AND BSL-1.0 AND MIT
torchvision                0.29.0                 BSD
onnxruntime                1.29.0                 MIT License
onnx-weekly                1.24.0.dev20260907     Apache-2.0
onnx2torch-py313           1.6.0                  Apache Software License
numpy                      2.5.3                  BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0
scipy                      1.18.1                 BSD License
scikit-learn               1.9.0                  BSD-3-Clause
librosa                    1.0.0                  ISC
numba                      0.67.0                 BSD
llvmlite                   0.49.0                 BSD-2-Clause AND Apache-2.0 WITH LLVM-exception
soundfile                  0.14.0                 BSD 3-Clause License
soxr                       1.1.0                  LGPL-2.1-or-later
audioread                  3.1.0                  MIT
pydub                      0.25.1                 MIT
julius                     0.2.8                  MIT License
einops                     0.8.2                  MIT
rotary-embedding-torch     0.6.5                  MIT
beartype                   0.18.5                 MIT
ml_collections             1.1.0                  Apache Software License
ml_dtypes                  0.6.0                  Apache-2.0
sympy                      1.14.0                 BSD
mpmath                     1.3.0                  BSD
networkx                   3.6.1                  BSD-3-Clause
Jinja2                     3.1.6                  BSD License
MarkupSafe                 3.0.3                  BSD-3-Clause
filelock                   3.32.6                 MIT
fsspec                     2026.7.0               BSD-3-Clause
typing_extensions          4.16.0                 PSF-2.0
tqdm                       4.70.0                 MPL-2.0 AND MIT
requests                   2.34.2                 Apache-2.0
urllib3                    2.7.0                  MIT
certifi                    2026.7.22              MPL-2.0
idna                       3.19                   BSD-3-Clause
charset-normalizer         3.5.1                  MIT
PyYAML                     6.0.3                  MIT
lazy_loader                0.5                    BSD-3-Clause
decorator                  5.3.1                  BSD-2-Clause
joblib                     1.6.0                  BSD-3-Clause
pooch                      1.9.0                  BSD-3-Clause
platformdirs               4.11.8                 MIT
threadpoolctl              3.6.0                  BSD-3-Clause
protobuf                   7.36.1                 3-Clause BSD License
flatbuffers                25.12.19               Apache 2.0
cloudpickle                3.1.2                  BSD-3-Clause
msgpack                    1.2.2                  Apache-2.0
absl-py                    2.5.0                  Apache-2.0
colorama                   0.4.6                  BSD License
six                        1.17.0                 MIT
pycparser                  3.0                    BSD-3-Clause
cffi                       2.1.1                  MIT-0
narwhals                   2.26.0                 MIT
packaging                  26.3                   Apache-2.0 OR BSD-2-Clause
setuptools                 84.0.0                 MIT
libsndfile                 (in soundfile)         see LICENSE.libsndfile
onnxruntime                (in onnxruntime)       see LICENSE.onnxruntime
onnxruntime-third-party    (in onnxruntime)       see LICENSE.onnxruntime-third-party
